QueryString,PredictedLabel
c# string to int,TRUE
cs1024 c# preprocessor directive expected,FALSE
ide0040 c# accessibility modifiers required,FALSE
csharp,TRUE
c# sleep,TRUE
c# get set,TRUE
c# string format,TRUE
c# constructor,TRUE
cs0118 c# is a namespace but is used like a type,FALSE
c# null coalescing operator,FALSE
sa0001 c# xml comment analysis is disabled due to project configuration,FALSE
ca1824 c# mark assemblies with neutralresourceslanguageattribute,TRUE
c# string split,TRUE
c# random number,TRUE
list c#,TRUE
c# string,TRUE
c# random,TRUE
cs0104 c# is an ambiguous reference between and,FALSE
cs0029 c# cannot implicitly convert type 'string' to 'int',FALSE
c# stringbuilder,TRUE
cs0136 c# a local or parameter named cannot be declared in this scope because that name is used in an enclosing local scope to define a local or parameter,FALSE
cs0234 c# the type or namespace name does not exist in the namespace 'microsoft' (are you missing an assembly reference?),FALSE
cs1031 c# type expected,FALSE
c# 8,TRUE
ide0067 c# disposable object created by is never disposed,FALSE
cs1038 c# #endregion directive expected,FALSE
c# data types,TRUE
c# messagebox,TRUE
cs0234 test c# the type or namespace name does not exist in the namespace (are you missing an assembly reference?),FALSE
c# string.format,TRUE
c# case statement,TRUE
c# generics,TRUE
for loop c#,TRUE
cs8300 c# merge conflict marker encountered,FALSE
cs0436 c# the type in conflicts with the imported type in. using the type defined in.,FALSE
c# inheritance,TRUE
cs0106 c# the modifier 'private' is not valid for this item,FALSE
c# string array,TRUE
c# abstract class,TRUE
c# lock,TRUE
cs2001 test c# source file could not be found.,FALSE
cs0106 c# the modifier 'public' is not valid for this item,FALSE
cs0103 c# and asp.net the name does not exist in the current context,FALSE
cs0053 c# inconsistent accessibility: property type is less accessible than property,FALSE
c# task,TRUE
c# linq,TRUE
c# programming,TRUE
cs0123 c# no overload for matches delegate,FALSE
cs0103 test c# the name does not exist in the current context,FALSE
what is c#,TRUE
cs8641 c# 'else' cannot start a statement.,FALSE
cs1503 c# argument 2: cannot convert from to,FALSE
c# await,TRUE
c# stopwatch,TRUE
c# arraylist,TRUE
ide1007 c# the name does not exist in the current context.,FALSE
c# split string,TRUE
c# split,TRUE
cs0542 c# '': member names cannot be the same as their enclosing type,FALSE
cs1061 c# 'object' does not contain a definition for and no accessible extension method accepting a first argument of type 'object' could be found (are you missing a using directive or an assembly reference?),FALSE
dependency injection c#,TRUE
cs0050 c# inconsistent accessibility: return type is less accessible than method,FALSE
cs0426 c# the type name does not exist in the type,FALSE
cs8107 c# feature is not available in c# 7.0. please use language version 7.1 or greater.,FALSE
c# write to file,TRUE
c# optional parameter,TRUE
cs1524 c# expected catch or finally,FALSE
c# extension method,TRUE
cs1061 c# 'mainwindow' does not contain a definition for and no accessible extension method accepting a first argument of type 'mainwindow' could be found (are you missing a using directive or an assembly reference?),FALSE
cs0200 c# property or indexer cannot be assigned to -- it is read only,FALSE
c# string replace,TRUE
c# queue,TRUE
ienumerable c#,TRUE
ide0058 c# expression value is never used,FALSE
convert string to int c#,TRUE
an object reference is required nonstatic c#,TRUE
cs0168 c# the variable 'e' is declared but never used,FALSE
c# operator,TRUE
enum c#,TRUE
c# to vb,TRUE
c# if statement,TRUE
c# indexof,TRUE
cs1503 c# argument {0}: cannot convert from to,FALSE
cs0227 c# unsafe code may only appear if compiling with /unsafe,FALSE
cs1525 c# invalid expression term '=',FALSE
substring c#,TRUE
switch c#,TRUE
ide0066 c# use 'switch' expression,FALSE
c# func,TRUE
cs0029 c# cannot implicitly convert type 'int' to 'string',FALSE
c# string to byte array,TRUE
c# online,TRUE
cs1501 c# no overload for method takes 1 arguments,FALSE
c# ternary operator,TRUE
string.format c#,TRUE
ide0049 c# name can be simplified.,FALSE
c# initialize array,TRUE
cs0619 c# is obsolete:,TRUE
ide0051 c# private member is unused.,FALSE
c# ?? operator,TRUE
c# tryparse,TRUE
convert c# to vb.net,TRUE
stringbuilder c#,TRUE
c# arrays,TRUE
ide0032 c# use auto property,FALSE
c# online compiler,TRUE
c# ? operator,TRUE
c# ?,TRUE
c# operators,TRUE
cs0534 c# does not implement inherited abstract member,FALSE
vb to c#,TRUE
cs0656 c# missing compiler required member 'microsoft.csharp.runtimebinder.binder.convert',FALSE
c# switch expression,TRUE
c# yield,TRUE
array c#,TRUE
switch case c#,TRUE
cs0029 c# cannot implicitly convert type 'string' to,FALSE
c# nameof,TRUE
cs1061 c# 'iservicecollection' does not contain a definition for and no accessible extension method accepting a first argument of type 'iservicecollection' could be found (are you missing a using directive or an assembly reference?),FALSE
c# do while,TRUE
c# action,TRUE
datetime c#,TRUE
try catch c#,TRUE
c# decimal,TRUE
c# httpclient,TRUE
c# using statement,TRUE
ide0029 c# null check can be simplified,FALSE
c# typeof,TRUE
hashset c#,TRUE
c# case,TRUE
cs1061 test c# does not contain a definition for and no accessible extension method accepting a first argument of type could be found (are you missing a using directive or an assembly reference?),FALSE
c# delegates,TRUE
c# properties,TRUE
convert c# to vb,TRUE
c# extension methods,TRUE
c# stack,TRUE
c# lambda expression,TRUE
c# ienumerable,TRUE
c# class,TRUE
cs0029 c# cannot implicitly convert type 'int' to 'bool',FALSE
c# list sort,TRUE
cs0029 c# cannot implicitly convert type 'string' to 'bool',FALSE
ef1001 c# {0} is an internal api that supports the entity framework core infrastructure and not subject to the same compatibility standards as public apis. it may be changed or removed without notice in any release.,FALSE
c# lambda,TRUE
string to int c#,TRUE
regex c#,TRUE
cs0041 c# unexpected error writing debug information -- ',FALSE
c# ide,TRUE
cs1525 c# invalid expression term,FALSE
c# async,TRUE
cs7003 c# unexpected use of an unbound generic name,FALSE
cs0103 c# the name 'configurationmanager' does not exist in the current context,FALSE
cs0067 c# the event is never used,FALSE
c# =>,TRUE
c# while loop,TRUE
c# events,TRUE
linq c#,TRUE
c# event,TRUE
cs1061 c# 'form1' does not contain a definition for 'form1_load' and no accessible extension method 'form1_load' accepting a first argument of type 'form1' could be found (are you missing a using directive or an assembly reference?),FALSE
ide0037 c# member name can be simplified,FALSE
c# string contains,TRUE
c# 9,TRUE
c# documentation,TRUE
c# wait,TRUE
c# code,TRUE
c# partial class,TRUE
c# date format,TRUE
tuple c#,TRUE
c# or,TRUE
cs0266 c# cannot implicitly convert type 'double' to 'int'. an explicit conversion exists (are you missing a cast?),FALSE
c# json,TRUE
cs0738 c# does not implement interface member. cannot implement because it does not have the matching return type of.,FALSE
c# property,TRUE
switch statement c#,TRUE
cs8321 c# the local function is declared but never used,FALSE
c# static,TRUE
async await c#,TRUE
cs8107 c# feature is not available in c# 7.0. please use language version {1} or greater.,FALSE
c# byte array to string,TRUE
ide0011 c# add braces to 'if' statement.,TRUE
cs0407 c# has the wrong return type,TRUE
cs8002 c# referenced assembly does not have a strong name.,FALSE
cs0400 c# the type or namespace name could not be found in the global namespace (are you missing an assembly reference?),FALSE
cs0128 c# a local variable or function named is already defined in this scope,FALSE
cs0246 c# the type or namespace name 'newtonsoft' could not be found (are you missing a using directive or an assembly reference?),FALSE
c# streamreader,TRUE
c# static class,TRUE
json to c# class,FALSE
c# dictionary initializer,TRUE
online c# compiler,TRUE
cs8179 c# predefined type is not defined or imported,FALSE
c# convert string to datetime,TRUE
cs1503 c# argument 1: cannot convert from 'string' to,FALSE
cs1501 c# no overload for method takes 2 arguments,FALSE
c# format string,TRUE
cs8180 c# { or ; or => expected,FALSE
c# dynamic,TRUE
ide0001 c# name can be simplified.,FALSE
httpclient c#,TRUE
cs0246 c# and asp.net the type or namespace name could not be found (are you missing a using directive or an assembly reference?),FALSE
c# streamwriter,TRUE
cs0305 c# using the generic type requires 1 type arguments,FALSE
cs8124 c# tuple must contain at least two elements.,FALSE
c# pass by reference,TRUE
cs0234 c# the type or namespace name 'mvc' does not exist in the namespace 'system.web' (are you missing an assembly reference?),FALSE
cs1061 c# 'dbcontextoptionsbuilder' does not contain a definition for 'usesqlserver' and no accessible extension method 'usesqlserver' accepting a first argument of type 'dbcontextoptionsbuilder' could be found (are you missing a using directive or an assembly reference?),FALSE
ide0039 c# use local function,TRUE
unity c#,TRUE
ad0001 c# analyzer threw an exception of type with message.,FALSE
c# guid,TRUE
c# for beginners,TRUE
cs0105 c# the using directive for appeared previously in this namespace,FALSE
ide0003 c# name can be simplified.,FALSE
cs1579 c# foreach statement cannot operate on variables of type because does not contain a public instance definition for 'getenumerator',FALSE
c# regex tester,TRUE
string interpolation c#,TRUE
c# absolute value,TRUE
c# sort list,TRUE
c# 8.0,TRUE
c# filestream,TRUE
cs0234 c# the type or namespace name 'optimization' does not exist in the namespace 'system.web' (are you missing an assembly reference?),FALSE
c# language,TRUE
cs0103 c# the name '__o' does not exist in the current context,FALSE
cs0029 c# cannot implicitly convert type to 'string',FALSE
c# internal,TRUE
solid principles c#,TRUE
c# async await,TRUE
cs0234 c# the type or namespace name 'models' does not exist in the namespace (are you missing an assembly reference?),FALSE
c# reflection,TRUE
c# set,TRUE
cs0518 c# predefined type 'system.object' is not defined or imported,FALSE
abstract class c#,TRUE
ternary operator c#,TRUE
c# collections,TRUE
learning c#,TRUE
cs1061 c# 'dbcontextoptionsbuilder' does not contain a definition for and no accessible extension method accepting a first argument of type 'dbcontextoptionsbuilder' could be found (are you missing a using directive or an assembly reference?),FALSE
c# read text file,TRUE
c# yield return,TRUE
c# var,TRUE
c# protected,TRUE
c# trim,TRUE
cs0234 c# the type or namespace name 'office' does not exist in the namespace 'microsoft' (are you missing an assembly reference?),FALSE
c# multiline string,TRUE
c# throw exception,TRUE
cs1061 c# 'iapplicationbuilder' does not contain a definition for and no accessible extension method accepting a first argument of type 'iapplicationbuilder' could be found (are you missing a using directive or an assembly reference?),FALSE
cs0052 c# inconsistent accessibility: field type is less accessible than field,FALSE
cs7027 c# error signing output with public key from file -- file not found.,FALSE
using c#,TRUE
c# string.split,TRUE
c# hello world,TRUE
c# singleton,TRUE
c# ref,TRUE
c# multidimensional array,TRUE
c# double,TRUE
tryparse c#,TRUE
c# fileinfo,TRUE
cs0443 c# syntax error; value expected,FALSE
c# class constructor,TRUE
cs2012 c# cannot open for writing -- ',FALSE
c# if else,TRUE
cs1704 c# an assembly with the same simple name has already been imported. try removing one of the references (e.g.) or sign them to enable side-by-side.,FALSE
cs0518 c# predefined type is not defined or imported,FALSE
c# ?.,TRUE
ide0022 c# use block body for methods,TRUE
c# map,TRUE
c# destructor,TRUE
c# format datetime,TRUE
c# task.run,TRUE
c# isnumeric,TRUE
convert vb to c#,TRUE
c# random number generator,TRUE
cs0012 c# the type 'object' is defined in an assembly that is not referenced. you must add a reference to assembly.,FALSE
c# tostring,TRUE
cs1503 c# argument 1: cannot convert from to 'string',FALSE
c# params,TRUE
cs1501 c# no overload for method 'readline' takes 1 arguments,FALSE
cs0234 c# the type or namespace name 'forms' does not exist in the namespace 'system.windows' (are you missing an assembly reference?),FALSE
c# array length,TRUE
lambda expression c#,TRUE
cs1729 c# does not contain a constructor that takes 1 arguments,FALSE
c# convert int to string,TRUE
cs0839 c# argument missing,FALSE
delegate c#,TRUE
c# else if,TRUE
c# sealed class,TRUE
c# inline if,TRUE
c# string length,TRUE
ide0002 c# name can be simplified.,FALSE
c# cast,TRUE
c# string compare,TRUE
c# pdf,TRUE
c# read file,TRUE
c# const,TRUE
ide0034 c# expression can be simplified,FALSE
c# pattern matching,TRUE
cs1061 c# does not contain a definition for 'context' and no accessible extension method 'context' accepting a first argument of type could be found (are you missing a using directive or an assembly reference?),FALSE
cs1011 c# empty character literal,FALSE
ide0031 c# null check can be simplified,FALSE
cs0612 c# is obsolete,FALSE
string split c#,TRUE
c# tutorials,TRUE
c# parallel.foreach,TRUE
c# convert string to byte array,TRUE
c# enum to string,TRUE
cs1929 c# does not contain a definition for and the best extension method overload requires a receiver of type,FALSE
cs0123 c# no overload for matches delegate 'eventhandler',FALSE
visual c#,TRUE
c# replace,TRUE
c# int to string,TRUE
design patterns c#,TRUE
timespan c#,TRUE
c# rename file,TRUE
c# access modifiers,TRUE
cs1069 c# the type name 'sqlconnection' could not be found in the namespace. this type has been forwarded to assembly consider adding a reference to that assembly.,FALSE
arraylist c#,TRUE
c# for each,TRUE
c sharp and sequel programming,FALSE
datetime format c#,TRUE
get set c#,TRUE
c# contains,TRUE
c# regex match,TRUE
c# or operator,TRUE
cs1501 c# no overload for method takes {1} arguments,FALSE
c# fiddle,TRUE
cs0618 c# 'ihostingenvironment' is obsolete:,FALSE
c# xor,TRUE
cs0246 c# the type or namespace name 'form1' could not be found (are you missing a using directive or an assembly reference?),FALSE
cs8032 c# an instance of analyzer {0} cannot be created from {1}: {2}.,FALSE
c# nullable,TRUE
microsoft c#,TRUE
cs1501 c# no overload for method takes 3 arguments,FALSE
c# classes,TRUE
cs1501 c# no overload for method 'tostring' takes 1 arguments,FALSE
cs0030 c# cannot convert type to,FALSE
string.split c#,TRUE
c# newline,TRUE
streamreader c#,TRUE
c# 2d array,TRUE
c# select case,TRUE
visual studio c#,TRUE
c# long,TRUE
c# namespace,TRUE
cs0103 c# the name 'model' does not exist in the current context,FALSE
c# send email,TRUE
c# lists,TRUE
cs4033 c# the 'await' operator can only be used within an async method. consider marking this method with the 'async' modifier and changing its return type to 'task'.,FALSE
vb.net to c#,TRUE
c# linq select,TRUE
cs0234 c# the type or namespace name 'helpers' does not exist in the namespace 'system.web' (are you missing an assembly reference?),FALSE
interface c#,TRUE
cs0101 c# the namespace '<global namespace>' already contains a definition for,FALSE
ide0044 c#,TRUE
c# file exists,TRUE
c# anonymous type,TRUE
c# thread,TRUE
c# certification,TRUE
c# regular expression,TRUE
c# print,TRUE
c# declare array,TRUE
c# assert,TRUE
c# goto,TRUE
cs0117 test c# does not contain a definition for,FALSE
c# function,TRUE
c# delete file,TRUE
c# if,TRUE
cs1963 c# an expression tree may not contain a dynamic operation,FALSE
c# base64 encode,TRUE
c# check if file exists,TRUE
c# dependency injection,TRUE
c# int,TRUE
c# sortedlist,TRUE
c# virtual method,TRUE
c# break,TRUE
c# concatenate strings,TRUE
c# hashmap,TRUE
c# keyvaluepair,TRUE
c sharp tutorial,TRUE
cs1703 c# multiple assemblies with equivalent identity have been imported: and. remove one of the duplicate references.,FALSE
c# float,TRUE
indexof c#,TRUE
ide0016 c# null check can be simplified,FALSE
cs1061 c# 'string' does not contain a definition for and no accessible extension method accepting a first argument of type 'string' could be found (are you missing a using directive or an assembly reference?),FALSE
cs0163 c# control cannot fall through from one case label ('') to another,FALSE
c# dictionary example,TRUE
cs8070 c# control cannot fall out of switch from final case label (''),FALSE
c# static constructor,TRUE
c# logical operators,TRUE
c# string substring,TRUE
c# override,TRUE
automapper c#,TRUE
c# console.writeline,TRUE
cs0518 c# predefined type 'system.void' is not defined or imported,FALSE
c# array initialization,TRUE
c# char,TRUE
c# generic constraints,TRUE
c# math.round,TRUE
c# write text file,TRUE
cs1030 c# #warning:,FALSE
c# datetime format string,TRUE
string array c#,TRUE
wmic bios get serialnumber c#,TRUE
c# list find,TRUE
cs1612 c# cannot modify the return value of because it is not a variable,FALSE
c# print to console,TRUE
c# coding,TRUE
null coalescing c#,TRUE
await c#,TRUE
c# while,TRUE
c# convert byte array to string,TRUE
cs1525 c# invalid expression term 'int',FALSE
vb to c# converter,FALSE
c# mutex,TRUE
c# string functions,TRUE
cs1737 c# optional parameters must appear after all required parameters,FALSE
c# byte,TRUE
string format c#,TRUE
c# struct vs class,FALSE
c# tostring format,TRUE
how to learn c#,FALSE
c# parse json,TRUE
c# uri,TRUE
cs1585 c# member modifier 'public' must precede the member type and name,FALSE
c# string formatting,TRUE
c# enum string,TRUE
cs1738 c# named argument specifications must appear after all fixed arguments have been specified. please use language version 7.2 or greater to allow non-trailing named arguments.,FALSE
c# indexer,TRUE
c# syntax,TRUE
c# openfiledialog,TRUE
ca2008 c# do not create tasks without passing a taskscheduler,FALSE
c# out parameter,TRUE
cs0144 c# cannot create an instance of the abstract class or interface,FALSE
c# tuples,TRUE
c# add to array,TRUE
c# file,TRUE
cs0103 c# the name 'console' does not exist in the current context,FALSE
c# named tuple,TRUE
functions in c#,TRUE
c# reverse string,TRUE
cs1729 c# does not contain a constructor that takes 0 arguments,FALSE
c# reference,TRUE
c# and operator,TRUE
c# linked list,TRUE
cs0311 c# the type cannot be used as type parameter in the generic type or method. there is no implicit reference conversion from to.,FALSE
c# datetime tostring formats,TRUE
c# initialize list,TRUE
c# null check,TRUE
cs0263 c# partial declarations of must not specify different base classes,FALSE
streamwriter c#,TRUE
c# sort array,TRUE
messagebox c#,TRUE
c# new guid,TRUE
cs1061 c# 'form1' does not contain a definition for and no extension method accepting a first argument of type 'form1' could be found (are you missing a using directive or an assembly reference?),FALSE
c# copy file,TRUE
struct c#,TRUE
cs8370 c# feature is not available in c# 7.3. please use language version {1} or greater.,FALSE
c# design patterns,TRUE
c# generic method,TRUE
c# +=,TRUE
cs0012 test c# the type is defined in an assembly that is not referenced. you must add a reference to assembly.,FALSE
cs1014 c# a get or set accessor expected,TRUE
cs0659 c# overrides object.equals(object o) but does not override object.gethashcode(),FALSE
while loop c#,TRUE
c# threading,TRUE
c# throw,TRUE
c# naming conventions,TRUE
cs8104 c# an error occurred while writing the output file: system.io.ioexception: the cloud operation was unsuccessful.,FALSE
cs0029 c# cannot implicitly convert type 'string' to 'system.windows.forms.label',FALSE
cs1029 c# #error:,FALSE
cs1729 c# does not contain a constructor that takes {1} arguments,FALSE
cs0246 c# the type or namespace name 'app' could not be found (are you missing a using directive or an assembly reference?),FALSE
cs8703 c# the modifier 'public' is not valid for this item in c# 7.3. please use language version or greater.,FALSE
enc0001 c# updating an active statement will prevent the debug session from continuing.,FALSE
c# enums,TRUE
c# string enum,TRUE
c# write to text file,TRUE
c# is,TRUE
c# programming language,TRUE
cs1061 c# 'object' does not contain a definition for 'text' and no accessible extension method 'text' accepting a first argument of type 'object' could be found (are you missing a using directive or an assembly reference?),FALSE
c# foreach loop,TRUE
c# remove characters from string,TRUE
c# string to enum,TRUE
c# enum to int,TRUE
cs0518 c# predefined type 'system.string' is not defined or imported,FALSE
c# url encode,TRUE
cs0136 c# a local or parameter named 'e' cannot be declared in this scope because that name is used in an enclosing local scope to define a local or parameter,FALSE
cs0103 c# the name 'viewbag' does not exist in the current context,FALSE
ide0020 c# use pattern matching,TRUE
c# get file size,TRUE
c# process,TRUE
cs1656 c# cannot assign to because it is a 'method group',FALSE
c# webclient,TRUE
nocturne in c sharp minor,FALSE
c# multithreading,TRUE
stopwatch c#,TRUE
ide0025 c# use expression body for properties,TRUE
c# vector,TRUE
c# eventhandler,TRUE
c# new array,TRUE
cs8012 c# referenced assembly targets a different processor.,FALSE
c# exception,TRUE
cs0118 c# is a {1} but is used like a {2},FALSE
c# is null,TRUE
c# array to list,TRUE
c# string builder,TRUE
cs1061 c# 'mainwindow' does not contain a definition for and no extension method accepting a first argument of type 'mainwindow' could be found (are you missing a using directive or an assembly reference?),FALSE
cs0428 c# cannot convert method group 'tostring' to non-delegate type 'string'. did you intend to invoke the method?,FALSE
random c#,TRUE
convert vb.net to c#,TRUE
c# urlencode,TRUE
c# string trim,TRUE
ide0030 c# use coalesce expression,FALSE
cs1040 c# preprocessor directives must appear as the first non-whitespace character on a line,FALSE
c# concurrentdictionary,TRUE
string c#,TRUE
list in c#,TRUE
c# datetime tostring,TRUE
c# as,TRUE
c# linq join,TRUE
c# regex replace,TRUE
c# factory pattern,TRUE
c# stream,TRUE
c# convert,TRUE
c# replace string,TRUE
c# predicate,TRUE
cs0618 test c# is obsolete:,FALSE
c# basics,TRUE
concurrentdictionary c#,TRUE
c# getter setter,TRUE
hello world c#,TRUE
cs1503 c# argument 1: cannot convert from 'int' to 'string',FALSE
repository pattern c#,TRUE
cs0111 c# type already defines a member called '.ctor' with the same parameter types,FALSE
c# ilist,TRUE
c# string to datetime,TRUE
cs0234 c# the type or namespace name does not exist in the namespace 'system' (are you missing an assembly reference?),FALSE
c# gettype,TRUE
ide0069 c# disposable field is never disposed,FALSE
configureawait c#,TRUE
c# json deserialize,TRUE
c# span,TRUE
c# datetimeoffset,TRUE
cs0818 c# implicitly-typed variables must be initialized,TRUE
c# linq distinct,TRUE
c# decompiler,TRUE
do while c#,TRUE
c# enum flags,TRUE
c# datetime format strings,TRUE
c# region,TRUE
ide1006 c# naming rule violation: these words must begin with upper case characters: button1_click,TRUE
c# convert string to date,TRUE
json2csharp,TRUE
c# and,TRUE
polymorphism c#,TRUE
in c#,TRUE
c# ternary,TRUE
c# lazy,TRUE
c# blazor,TRUE
typeof c#,TRUE
c# list contains,TRUE
c# string indexof,TRUE
cs0021 c# cannot apply indexing with [] to an expression of type,FALSE
c# convert string to enum,TRUE
ide0042 c# variable declaration can be deconstructed,TRUE
c# datetime to string,TRUE
c# convert string to double,TRUE
c# string concatenation,TRUE
cs0234 c# the type or namespace name 'entity' does not exist in the namespace 'system.data' (are you missing an assembly reference?),FALSE
c# dynamic object,TRUE
cs0656 test c# missing compiler required member 'microsoft.csharp.runtimebinder.csharpargumentinfo.create',FALSE
c# range,TRUE
grpc c#,TRUE
cs1729 c# does not contain a constructor that takes 2 arguments,FALSE
cs0103 c# the name 'i' does not exist in the current context,FALSE
c# memorystream,TRUE
c# new line,TRUE
?? c#,TRUE
c# versions,TRUE
c# repl,TRUE
c# datediff,TRUE
c# attributes,TRUE
c# open file,TRUE
cs1501 c# no overload for method takes 0 arguments,FALSE
convert int to string c#,TRUE
c# firstordefault,TRUE
cs2017 c# cannot specify /main if building a module or library,FALSE
c# dataset,TRUE
c# gethashcode,TRUE
cs0029 c# cannot implicitly convert type 'string' to 'system.windows.forms.textbox',FALSE
cs2002 c# source file specified multiple times,FALSE
ide0044 test c# make field readonly,FALSE
cs0841 c# cannot use local variable before it is declared,FALSE
c# format date,TRUE
c# method,TRUE
c# array sort,TRUE
ide0068 c# use recommended dispose pattern to ensure that object created by is disposed on all paths: using statement/declaration or try/finally,FALSE
cs0428 c# cannot convert method group to non-delegate type 'object'. did you intend to invoke the method?,FALSE
tostring c#,TRUE
c# constant,TRUE
c# to json,TRUE
cs0118 c# is a variable but is used like a type,FALSE
ide0043 c# format string contains invalid placeholder,TRUE
console.writeline c#,TRUE
timer c#,TRUE
c# compare strings,TRUE
inconsistent accessibility c#,TRUE
c# compareto,TRUE
c# bitwise operators,TRUE
array in c#,TRUE
c# priority queue,TRUE
cs1028 c# unexpected preprocessor directive,FALSE
arrays in c#,TRUE
c sharp download,TRUE
c# online editor,TRUE
c# version,TRUE
c# compiler online,TRUE
cs1586 c# array creation must have array size or array initializer,FALSE
random number c#,TRUE
c# date,TRUE
c# .net,TRUE
static c#,TRUE
c# idisposable,TRUE
c# object,TRUE
c# configurationmanager,TRUE
c# operator overloading,TRUE
convert string to byte array c#,TRUE
cs0433 test c# the type exists in both and,FALSE
what is c# used for,FALSE
c# 8 features,TRUE
c# linkedlist,TRUE
c# dispose,TRUE
c# loop,TRUE
c# list remove,TRUE
c# backgroundworker,TRUE
cs0029 c# cannot implicitly convert type 'string' to 'double',FALSE
cs0234 c# the type or namespace name 'webpages' does not exist in the namespace 'system.web' (are you missing an assembly reference?),FALSE
c# create directory,TRUE
c# &&,TRUE
c# path,TRUE
cs1662 c# cannot convert lambda expression to intended delegate type because some of the return types in the block are not implicitly convertible to the delegate return type,FALSE
constructor c#,TRUE
c# type,TRUE
task.run c#,TRUE
c# casting,TRUE
c# invoke,TRUE
c# not equal,TRUE
c# functions,TRUE
use of unassigned local variable c#,TRUE
c# string contains case insensitive,TRUE
if else c#,TRUE
c# using block,TRUE
cs1503 c# argument 1: cannot convert from 'string' to 'int',FALSE
c# deserialize json,TRUE
c# dynamic type,TRUE
c# try catch finally,FALSE
c# string.replace,TRUE
c# delay,TRUE
c# methods,TRUE
cs0029 c# cannot implicitly convert type 'void' to 'string',FALSE
ide0071 c# interpolation can be simplified,FALSE
yield return c#,TRUE
c# convert to int,TRUE
cs0234 c# the type or namespace name 'http' does not exist in the namespace 'system.web' (are you missing an assembly reference?),FALSE
c# decimal vs double,FALSE
parallel.foreach c#,TRUE
c# datagridview,TRUE
c# playground,TRUE
visual studio code c#,TRUE
int to string c#,TRUE
cs1525 c# invalid expression term 'string',FALSE
c# attribute,TRUE
deserialize json c#,TRUE
cs0029 c# cannot implicitly convert type 'int' to,FALSE
c# list to string,TRUE
c# array to string,TRUE
convert string to datetime c#,TRUE
